Threshold,Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE
0.2652488350868225,2.0,0.021494185575724883,0.005976042121183542,1.0,1.0,0.0,0.27927150415677154,0.2094536281175787
0.2729690223932266,2.0,0.023933879676631215,0.0073833058621132035,1.0,1.0,0.0,0.2590018758691269,0.19425140690184514
0.28918905556201935,2.0,0.03259868089351134,0.01283799675541808,1.0,1.0,0.0,0.21512156684798298,0.16134117513598722
0.3022318482398987,2.0,0.040066843929431155,0.014880723306589003,1.0,1.0,0.0,0.2272620525619011,0.17044653942142585
0.32629480957984924,2.0,0.05864374875018191,0.020024310616994796,1.0,1.0,0.0,0.2434526186229212,0.1825894639671909
0.34855077445507043,2.0,0.0720477870381852,0.02764514543530576,0.9990196385573813,1.0,0.004924406692526896,0.2215005287900178,0.16735649826564505
0.35470087826251984,2.0,0.07539537956546995,0.030766826647093643,0.9986978882356311,1.0,0.006076088545507432,0.2094296803747512,0.15859128241744028
0.37512317299842834,2.0,0.096556011051398,0.04611219715444249,0.9970718373718128,1.0,0.01023799665651393,0.1762425418076302,0.13474140551985112
0.3908798098564148,2.0,0.11176150338725392,0.05788810984882609,0.9934462985237511,0.9990331807976899,0.016464312472766224,0.15889070547243778,0.12328410722251988
0.4091844522953034,2.0,0.13580241960099015,0.07153271992179798,0.9819822456901385,0.9980531296253913,0.038681353554257204,0.1551645444504951,0.12604374672643562
0.4446849972009659,2.0,0.1766290100013297,0.10883068111711881,0.9496517839276629,0.9859685764583572,0.06366960094084774,0.11877172373475277,0.10499619303627651
